Job Title;Rating;Company Name;Location;Headquarters;Size;Founded;Type of ownership;Industry;Sector;Revenue;max_salary;company_txt;job_state;same_state;age;python_yn;spark;aws;excel;job_simp;num_comp
Data Analyst Senior;3.0;"AmeriHealth Caritas
3.0";Philadelphia, PA;Philadelphia, PA;5001 to 10000 employees;1983;Company - Private;Insurance Carriers;Insurance;$5 to $10 billion (USD);85;AmeriHealth Caritas;PA;1;37;0;0;0;1;analyst;3
Lead Data Engineer (Python);4.7;"Strategic Employment Partners
4.7";San Francisco, CA;Los Angeles, CA;51 to 200 employees;2006;Company - Private;Staffing & Outsourcing;Business Services;$1 to $5 million (USD);123;Strategic Employment Partners;CA;0;24;1;0;1;0;data engineer;0
Senior Data Scientist 4 Artificial Intelligence;3.8;"PNNL
3.8";Seattle, WA;Richland, WA;1001 to 5000 employees;1965;Government;Energy;Oil, Gas, Energy & Utilities;$500 million to $1 billion (USD);146;PNNL;WA;0;55;0;0;0;0;data scientist;3
Medical Lab Scientist - MLT;3.2;"Catholic Health Initiatives
3.2";Omaha, NE;Englewood, CO;10000+ employees;1996;Nonprofit Organization;Health Care Services & Hospitals;Health Care;$10+ billion (USD);58;Catholic Health Initiatives;NE;0;24;0;0;0;0;na;2
Senior Operations Data Analyst, Call Center Operations;2.7;"FLEETCOR
2.7";Nashville, TN;Peachtree Corners, GA;5001 to 10000 employees;2000;Company - Public;Financial Transaction Processing;Finance;$2 to $5 billion (USD);34;FLEETCOR;TN;0;20;0;0;0;1;analyst;0
Director II, Data Science - GRS Predictive Analytics;3.3;"Liberty Mutual Insurance
3.3";Chicago, IL;Boston, MA;10000+ employees;1912;Company - Private;Insurance Carriers;Insurance;$10+ billion (USD);239;Liberty Mutual Insurance;IL;0;24;1;0;0;0;director;3
RESEARCH COMPUTER SCIENTIST - RESEARCH ENGINEER - SR. COMPUTER SCIENTIST - SOFTWARE DEVELOPMENT;3.9;"Southwest Research Institute
3.9";San Antonio, TX;San Antonio, TX;1001 to 5000 employees;1947;Nonprofit Organization;Research & Development;Business Services;$500 million to $1 billion (USD);91;Southwest Research Institute;TX;1;24;1;0;1;1;na;3
Geospatial Software Developer and Data Scientist;3.7;"Applied Research Laboratories
3.7";Austin, TX;Austin, TX;501 to 1000 employees;1988;College / University;Colleges & Universities;Education;Unknown / Non-Applicable;129;Applied Research Laboratories;TX;1;24;1;0;1;0;data scientist;0
Senior Scientist - Toxicologist - Product Integrity (Stewardship);3.1;"Reynolds American
3.1";Winston-Salem, NC;Winston-Salem, NC;5001 to 10000 employees;1875;Company - Private;Consumer Products Manufacturing;Manufacturing;$10+ billion (USD);101;Reynolds American;NC;1;24;0;0;0;1;na;0
Systems Engineer II - Data Analyst;3.7;"Raytheon
3.7";Huntsville, AL;Waltham, MA;10000+ employees;1922;Company - Public;Aerospace & Defense;Aerospace & Defense;$10+ billion (USD);76;Raytheon;AL;0;24;0;0;0;1;analyst;0
